,HomeTeam,AwayTeam,FTHG,FTAG,HS,AST,HC,AC,HF,AF,HY,AY,HR,AR
0,Barrow,Stevenage,1,1,5,2,5,5,11,15,1,1,0,0
1,Bolton,Forest Green,0,1,2,3,5,1,14,14,3,1,0,0
2,Bradford,Colchester,0,0,4,2,6,5,11,16,1,3,0,0
3,Cambridge,Carlisle,3,0,3,1,3,8,7,18,1,4,0,0
4,Cheltenham,Morecambe,1,2,8,4,7,1,10,11,0,1,0,0
5,Mansfield,Tranmere,0,0,2,1,5,3,10,11,0,0,0,0
6,Oldham,Leyton Orient,0,1,4,2,5,3,12,15,0,2,0,0
7,Port Vale,Crawley Town,2,0,6,4,7,6,6,10,0,0,0,0
8,Salford,Exeter,2,2,5,5,4,10,11,16,1,0,0,0
9,Scunthorpe,Newport County,1,1,4,4,2,9,11,12,2,0,0,0
10,Southend,Harrogate,0,4,2,5,5,6,5,18,2,1,0,0
11,Walsall,Grimsby,1,0,7,3,8,4,19,14,1,2,0,0
12,Carlisle,Southend,2,0,7,1,6,8,7,7,1,0,0,0
13,Colchester,Bolton,2,0,3,2,4,5,17,10,1,2,0,0
14,Crawley Town,Scunthorpe,1,0,2,1,6,8,14,13,0,1,0,0
15,Exeter,Port Vale,0,2,3,2,6,1,11,16,0,0,0,0
16,Forest Green,Bradford,2,2,2,5,9,2,11,17,2,1,0,2
17,Grimsby,Salford,0,4,7,7,5,5,14,16,1,3,1,0
18,Harrogate,Walsall,2,2,4,7,6,10,16,9,1,0,0,1
19,Leyton Orient,Mansfield,2,2,6,6,8,4,9,16,2,2,0,0
20,Morecambe,Cambridge,0,5,1,8,5,6,12,9,2,0,0,0
21,Newport County,Barrow,2,1,3,2,3,2,14,17,2,3,0,0
22,Stevenage,Oldham,3,0,12,1,13,3,11,6,1,1,0,0
23,Tranmere,Cheltenham,0,3,1,3,4,5,17,9,2,2,0,0
24,Barrow,Colchester,1,1,4,4,7,5,14,12,1,3,0,0
25,Bolton,Newport County,0,2,3,9,4,6,10,13,1,3,0,0
26,Bradford,Stevenage,2,1,7,5,4,5,15,10,2,0,0,0
27,Cambridge,Tranmere,0,0,1,3,2,14,12,10,3,0,0,0
28,Mansfield,Exeter,1,2,2,3,4,11,8,10,2,1,0,0
29,Oldham,Crawley Town,2,3,6,3,8,2,11,8,0,2,0,0
30,Port Vale,Harrogate,0,0,0,1,4,7,16,14,1,1,0,0
31,Salford,Forest Green,0,0,2,5,6,9,14,13,2,1,0,0
32,Scunthorpe,Carlisle,1,0,2,5,5,9,13,10,2,0,0,0
33,Southend,Morecambe,1,2,0,3,1,1,14,14,2,2,0,0
34,Carlisle,Barrow,1,0,4,6,2,4,16,19,3,4,1,0
35,Colchester,Oldham,3,3,6,4,5,8,10,16,4,1,0,0
36,Crawley Town,Southend,1,1,5,5,5,1,13,7,1,0,0,0
37,Exeter,Cambridge,2,0,4,6,2,7,9,12,3,2,0,0
38,Forest Green,Walsall,1,1,10,1,7,0,10,7,1,2,0,0
39,Harrogate,Bolton,1,2,2,4,4,8,15,6,3,2,0,0
40,Leyton Orient,Cheltenham,0,2,2,5,7,2,14,15,5,2,0,0
41,Morecambe,Port Vale,1,0,2,2,4,4,13,15,2,1,0,0
42,Newport County,Mansfield,2,1,6,5,6,1,9,14,0,3,0,0
43,Stevenage,Salford,0,1,2,7,5,9,19,13,1,2,0,0
44,Tranmere,Scunthorpe,2,0,2,1,4,3,12,11,2,2,0,0
45,Barrow,Leyton Orient,1,1,6,3,12,3,17,11,4,6,0,1
46,Bolton,Grimsby,0,0,0,0,6,6,16,13,2,1,0,0
47,Cambridge,Newport County,2,1,3,1,4,6,22,10,2,2,0,0
48,Cheltenham,Crawley Town,2,0,6,2,5,1,13,13,1,1,0,0
49,Mansfield,Stevenage,0,0,3,5,4,7,12,13,1,1,0,0
50,Oldham,Morecambe,2,3,3,5,6,2,8,11,0,1,0,0
51,Port Vale,Carlisle,0,1,1,6,8,7,15,11,3,1,0,0
52,Salford,Tranmere,2,2,4,5,2,4,14,10,0,3,0,0
53,Scunthorpe,Forest Green,1,4,3,6,2,3,15,9,2,1,0,0
54,Southend,Exeter,2,2,3,5,4,5,6,8,0,0,0,0
55,Walsall,Colchester,1,1,6,3,7,2,15,16,3,4,0,0
56,Bradford,Harrogate,0,1,3,9,1,5,14,14,2,1,0,0
57,Cheltenham,Grimsby,1,3,5,3,15,4,11,12,1,2,0,0
58,Walsall,Leyton Orient,2,1,5,2,4,4,17,17,5,2,0,0
59,Bolton,Oldham,1,2,3,3,2,9,7,21,1,4,0,0
60,Carlisle,Colchester,3,2,6,5,10,3,8,14,3,2,0,0
61,Crawley Town,Morecambe,4,0,5,1,4,3,10,9,1,0,0,0
62,Forest Green,Stevenage,1,0,2,1,2,4,8,16,1,2,0,0
63,Harrogate,Barrow,1,0,4,1,4,4,17,17,0,2,0,0
64,Mansfield,Bradford,1,3,9,5,6,5,15,15,1,1,1,0
65,Newport County,Tranmere,1,0,6,0,8,1,12,17,1,1,0,1
66,Port Vale,Salford,1,0,7,7,6,7,16,9,1,0,0,0
67,Scunthorpe,Cambridge,0,5,2,8,3,8,13,8,2,1,1,0
68,Southend,Cheltenham,0,2,1,5,1,6,18,7,1,0,0,0
69,Walsall,Exeter,0,0,3,2,10,4,10,15,0,1,0,0
70,Leyton Orient,Grimsby,2,3,3,5,4,6,14,11,4,1,0,0
71,Cheltenham,Scunthorpe,1,0,6,2,10,2,9,9,2,1,0,0
72,Morecambe,Mansfield,1,1,3,3,5,3,10,14,3,1,0,0
73,Barrow,Bolton,3,3,3,6,3,6,16,18,4,2,0,0
74,Cambridge,Port Vale,3,1,3,2,5,5,11,7,1,0,0,0
75,Colchester,Forest Green,1,0,1,1,0,7,15,11,4,2,0,0
76,Exeter,Crawley Town,2,1,3,7,4,4,10,16,0,1,0,0
77,Oldham,Carlisle,1,1,2,7,3,7,12,15,1,0,0,0
78,Stevenage,Newport County,0,1,1,5,1,3,22,13,2,0,0,0
