,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,knn,rfc,log,gb,sgd,lda,svc,mlp,result
0,2.0,2.0,3.0,5.0,16.0,11.0,1.0,2.0,0.0,0.0,0,0,2,2,2,2,2,2,0
1,3.0,4.0,4.0,4.0,7.0,9.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1
2,3.0,2.0,5.0,5.0,18.0,16.0,3.0,3.0,0.0,0.0,2,0,1,1,2,1,2,2,2
3,4.0,6.0,6.0,4.0,13.0,9.0,2.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,2
4,10.0,0.0,11.0,1.0,9.0,14.0,0.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
5,8.0,2.0,10.0,2.0,11.0,6.0,3.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
6,4.0,6.0,4.0,16.0,14.0,11.0,3.0,2.0,0.0,0.0,0,0,2,0,2,0,2,2,0
7,5.0,3.0,5.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,1,0,2,2,2,2,2,2,1
8,5.0,4.0,6.0,2.0,7.0,12.0,4.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,1.0,2.0,1.0,4.0,8.0,4.0,0.0,1.0,0.0,0.0,0,0,2,2,2,2,2,2,0
10,4.0,4.0,5.0,8.0,9.0,7.0,4.0,1.0,0.0,0.0,2,0,1,0,2,0,2,2,2
11,7.0,2.0,6.0,2.0,15.0,9.0,1.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
12,7.0,1.0,7.0,3.0,8.0,6.0,2.0,3.0,0.0,0.0,1,0,2,2,2,2,2,2,1
13,7.0,1.0,11.0,1.0,9.0,9.0,0.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
14,4.0,5.0,2.0,5.0,10.0,12.0,1.0,3.0,0.0,0.0,1,0,2,2,2,0,2,2,1
15,1.0,3.0,5.0,3.0,7.0,14.0,3.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0,1
16,7.0,4.0,8.0,2.0,6.0,15.0,0.0,4.0,0.0,0.0,2,0,2,2,2,2,2,2,2
17,6.0,5.0,6.0,7.0,10.0,11.0,4.0,1.0,0.0,0.0,2,0,2,0,2,0,2,2,2
18,3.0,5.0,8.0,5.0,9.0,9.0,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1
19,4.0,3.0,4.0,2.0,7.0,8.0,2.0,4.0,1.0,0.0,1,0,0,0,0,0,0,0,1
20,4.0,3.0,8.0,6.0,10.0,8.0,2.0,2.0,0.0,0.0,2,0,1,2,2,2,2,2,2
21,9.0,5.0,4.0,2.0,16.0,14.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
22,8.0,5.0,6.0,2.0,6.0,9.0,3.0,2.0,0.0,0.0,1,0,2,2,2,2,2,2,1
23,9.0,5.0,6.0,3.0,13.0,7.0,3.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
24,1.0,3.0,2.0,5.0,11.0,15.0,2.0,3.0,0.0,0.0,0,0,0,0,2,0,0,0,0
25,1.0,6.0,3.0,4.0,12.0,10.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
26,6.0,3.0,4.0,6.0,16.0,15.0,0.0,1.0,0.0,1.0,2,0,2,2,2,2,2,2,2
27,3.0,2.0,5.0,4.0,10.0,7.0,2.0,0.0,0.0,0.0,0,0,2,2,2,2,2,2,0
28,6.0,10.0,5.0,5.0,14.0,7.0,4.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
29,4.0,5.0,6.0,8.0,11.0,7.0,3.0,1.0,0.0,0.0,2,0,0,0,2,0,2,2,2
30,5.0,6.0,5.0,3.0,4.0,14.0,0.0,3.0,0.0,0.0,0,0,0,2,0,2,0,0,0
31,5.0,7.0,8.0,5.0,8.0,8.0,2.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
32,4.0,2.0,5.0,3.0,10.0,14.0,2.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
33,3.0,5.0,3.0,11.0,10.0,7.0,1.0,2.0,1.0,0.0,2,0,0,0,0,0,0,0,2
34,12.0,2.0,8.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
35,5.0,2.0,6.0,1.0,14.0,8.0,1.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
