,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,knn,rfc,log,gb,sgd,lda,svc
0,2.0,6.0,7.0,8.0,14.0,16.0,0.0,2.0,0.0,0.0,2,0,0,0,7,1,1
1,5.0,5.0,8.0,6.0,15.0,14.0,3.0,1.0,0.0,0.0,0,0,1,1,7,1,1
2,7.0,4.0,6.0,6.0,12.0,13.0,1.0,2.0,0.0,0.0,0,0,2,2,7,1,1
3,8.0,3.0,3.0,6.0,13.0,11.0,2.0,3.0,0.0,0.0,0,0,2,2,7,1,2
4,2.0,7.0,5.0,0.0,17.0,11.0,2.0,3.0,1.0,0.0,0,0,0,0,0,1,1
5,7.0,6.0,7.0,2.0,13.0,23.0,0.0,2.0,0.0,0.0,0,0,2,2,7,2,1
6,8.0,4.0,5.0,5.0,15.0,17.0,2.0,0.0,0.0,1.0,1,0,2,2,7,2,2
7,5.0,5.0,2.0,6.0,11.0,14.0,0.0,1.0,0.0,1.0,3,0,3,2,9,1,1
8,12.0,1.0,8.0,3.0,15.0,17.0,0.0,1.0,0.0,1.0,2,7,5,5,8,3,2
9,5.0,9.0,2.0,6.0,14.0,7.0,1.0,0.0,0.0,0.0,0,0,0,0,7,0,1
10,2.0,6.0,9.0,4.0,7.0,12.0,3.0,1.0,0.0,0.0,1,0,0,0,0,1,1
11,9.0,4.0,8.0,1.0,26.0,14.0,2.0,2.0,0.0,0.0,2,0,2,2,7,1,1
12,10.0,0.0,4.0,4.0,10.0,11.0,0.0,1.0,0.0,0.0,1,6,5,3,8,3,2
13,6.0,0.0,5.0,5.0,8.0,20.0,2.0,3.0,0.0,1.0,1,0,2,2,7,2,1
14,12.0,3.0,11.0,7.0,13.0,21.0,2.0,1.0,0.0,0.0,1,8,2,2,7,2,2
15,6.0,1.0,10.0,2.0,9.0,11.0,1.0,1.0,0.0,1.0,0,0,5,5,7,2,1
16,8.0,3.0,5.0,6.0,16.0,10.0,3.0,1.0,0.0,0.0,2,0,2,1,7,1,2
17,2.0,2.0,3.0,3.0,21.0,19.0,4.0,3.0,0.0,0.0,2,0,1,1,1,1,1
18,6.0,1.0,8.0,3.0,10.0,13.0,0.0,1.0,0.0,0.0,0,0,3,2,7,2,1
19,6.0,3.0,3.0,7.0,17.0,21.0,2.0,3.0,0.0,0.0,1,0,2,1,7,1,1
20,8.0,3.0,2.0,2.0,14.0,15.0,0.0,1.0,0.0,0.0,0,0,4,2,8,2,2
21,11.0,3.0,13.0,4.0,12.0,10.0,3.0,1.0,0.0,1.0,1,8,5,5,7,2,2
22,10.0,7.0,5.0,3.0,10.0,10.0,1.0,2.0,0.0,0.0,1,6,6,3,7,2,2
23,14.0,3.0,6.0,7.0,16.0,11.0,5.0,2.0,0.0,0.0,4,8,8,2,7,2,2
24,7.0,1.0,7.0,0.0,15.0,12.0,2.0,2.0,1.0,0.0,0,0,1,0,7,1,1
25,6.0,4.0,4.0,3.0,12.0,17.0,0.0,1.0,0.0,0.0,2,0,2,2,7,2,1
26,8.0,0.0,9.0,1.0,10.0,7.0,0.0,1.0,0.0,0.0,4,0,5,3,7,3,2
